Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites
Fortnite,425871040,7179588,"Shake it loose.

The new Fandangle Emote is in the Item Shop! https://t.co/By2pZnxLhb",[],Mon Mar 04 19:00:01 +0000 2019,13816
Fortnite,425871040,7179588,Big changes have come to the Battle Royale Map 📍 Scope out the new Mini Map for a fresh view! https://t.co/b0XitYpdj4,[],Mon Mar 04 17:00:41 +0000 2019,17933
Fortnite,425871040,7179588,"Keep sharp.

The Counter Attack Gear, Vanishing Point Gear and new Fandangle Emote are available now! https://t.co/hSW9CIZyl7",[],Mon Mar 04 00:00:05 +0000 2019,12226
Fortnite,425871040,7179588,"Cool off in the Lazy Lagoon, new on the Battle Royale map! ⛵ https://t.co/qrZ8htgbN9",[],Sun Mar 03 21:00:10 +0000 2019,21371
Fortnite,425871040,7179588,"New voice chat options have been added to #FortniteCreative! Share a single channel while in Creative, regardless o… https://t.co/r0dWShGinf",FortniteCreative,Sun Mar 03 17:00:18 +0000 2019,14482
Fortnite,425871040,7179588,Dance along to your favorite @Weezer song in the amazing #FortniteCreative Jukebox Island! 🎶 https://t.co/tZWECAdrdT,FortniteCreative,Sun Mar 03 15:00:32 +0000 2019,9149
Fortnite,425871040,7179588,"Polished reconnaissance.

The new Counter Attack Gear is in the Item Shop! https://t.co/3Ft2ZVA5Mk",[],Sun Mar 03 00:00:04 +0000 2019,20786
Fortnite,425871040,7179588,"RT @AppStore: Ahoy, me hearties! @FortniteGame Season 8 is live ⚓️

https://t.co/1odYtU7bb4 https://t.co/MSyahfBOTh",[],Sat Mar 02 22:00:14 +0000 2019,6526
Fortnite,425871040,7179588,Drop to Sunny Steps and have some fun in the 🌞 - new on the Battle Royale map! https://t.co/4XWbUCJHy9,[],Sat Mar 02 21:00:09 +0000 2019,12843
Fortnite,425871040,7179588,Find out what happens to our Heroes when they take on one of humanity’s most prolific disasters - love. 💔 Drop into… https://t.co/DGmVvMM30S,[],Sat Mar 02 19:00:03 +0000 2019,12118
Fortnite,425871040,7179588,Drop to the Block in its new location and unlock the mysteries of HellraiserGaming's Cryptic Castle! 🏰 https://t.co/sXwUsh1wce,[],Sat Mar 02 17:00:06 +0000 2019,9825
Fortnite,425871040,7179588,"The ESL Katowice Royale starts now! 

Tune in to see which duo is going to come out on top 🏆

💻: … https://t.co/i5ecDZXlMk",[],Sat Mar 02 16:04:22 +0000 2019,4615
Fortnite,425871040,7179588,@mystickal_lion We're aware of the issue affecting mouse sensitivity on PS4 and are investigating the issue: https://t.co/ssWtlOgNi7,[],Sat Mar 02 15:13:21 +0000 2019,287
Fortnite,425871040,7179588,We’ve released a PC only client update to resolve the issue causing players to stop sprinting if an animation is pl… https://t.co/EzjXRgvwEo,[],Sat Mar 02 15:04:52 +0000 2019,17577
Fortnite,425871040,7179588,"Outfits, emotes, sprays and more - check out what's inside the Season 8 Battle Pass! https://t.co/3M84ZBzumz",[],Sat Mar 02 15:00:00 +0000 2019,9205
Fortnite,425871040,7179588,Complete new Hero Quests to earn intrepid Heroes in Save the World! https://t.co/loBu2sUWeT,[],Sat Mar 02 02:00:03 +0000 2019,8672
Fortnite,425871040,7179588,"Shake, wiggle and roll.

The new Hot Air Gear and Breezy Emote are in the Item Shop! https://t.co/9XI89scbc3",[],Sat Mar 02 00:00:00 +0000 2019,22220
Fortnite,425871040,7179588,You completed 13 Overtime Challenges and earned your Season 8 Battle Pass - now it's time to claim it! Log in now a… https://t.co/4MGDatHkJO,[],Fri Mar 01 21:00:01 +0000 2019,12645
Fortnite,425871040,7179588,"We’ve released a patch for iOS players that will resolve the following issues:
  1)Pickaxe damage
  2)Metal would a… https://t.co/TfhKV5DdvG",[],Fri Mar 01 19:17:58 +0000 2019,11067
Fortnite,425871040,7179588,How's this for arts and crafts? 📻 Rock out with the @Weezer Jukebox Feature Island in #FortniteCreative! https://t.co/ISD8lLjNkU,FortniteCreative,Fri Mar 01 19:00:19 +0000 2019,6866
Fortnite,425871040,7179588,We've re-enabled text chat for Xbox players.,[],Fri Mar 01 18:28:40 +0000 2019,8452
Fortnite,425871040,7179588,Enable new Party Assist prior to a match and complete Daily or Weekly challenges with the help of your squad! You a… https://t.co/mX1go2cqVx,[],Fri Mar 01 17:00:01 +0000 2019,14389
Fortnite,425871040,7179588,We're currently deploying a hotfix to remove text chat from Xbox players to improve stability. We'll update you onc… https://t.co/OENghfCX7k,[],Fri Mar 01 16:52:23 +0000 2019,13283
Fortnite,425871040,7179588,"RT @Weezer: Your very own Weezer World on @FortniteGame, created by @FN_TeamCre8 ft. @HELLRAISERGamin, @G_Schway, KK-Slider, @Wertandrew ht…",[],Fri Mar 01 16:00:01 +0000 2019,6848
Fortnite,425871040,7179588,"❄️ Cool and firey. 🔥 

The new Hot and Cold Wrap is in the Item Shop! https://t.co/3UCA5VMAjh",[],Fri Mar 01 14:58:14 +0000 2019,22886
